l1_r,l2_r,recovery,h_emp,l1,l2
273.88153537754545,0.06896275705804848,0,1.3100594307876794,3.9714412106089285,0.001
282.9942532234636,0.06896275705804848,0,1.3062297015227302,4.103580907956696,0.001
292.1069710693818,0.06896275705804848,0,1.3027572867292672,4.235720605304464,0.001
301.2196889153,0.06896275705804848,0,1.2995991233674575,4.3678603026522325,0.001
310.3324067612181,0.06896275705804848,0,1.296718429484379,4.5,0.001
0.5,0.09857959500097598,0,253.03289167049752,0.007250290175886264,0.0014294613383568455
9.612717845918182,0.09857959500097598,1,13.202164108406352,0.13938998752365434,0.0014294613383568455
18.725435691836363,0.09857959500097598,1,6.836299416519941,0.27152968487142237,0.0014294613383568455
27.838153537754543,0.09857959500097598,1,4.664135116665307,0.4036693822191904,0.0014294613383568455
36.95087138367273,0.09857959500097598,1,3.5833891119377657,0.5358090795669586,0.0014294613383568455
46.06358922959091,0.09857959500097598,1,2.9466168373858,0.6679487769147266,0.0014294613383568455
55.17630707550909,0.09857959500097598,1,2.5339329711837593,0.8000884742624946,0.0014294613383568455
64.28902492142727,0.09857959500097598,1,2.249900826081497,0.9322281716102627,0.0014294613383568455
73.40174276734545,0.09857959500097598,1,2.0462419441378867,1.0643678689580307,0.0014294613383568455
82.51446061326362,0.09857959500097598,1,1.8958026957228018,1.1965075663057987,0.0014294613383568455
91.62717845918182,0.09857959500097598,1,1.782089434451234,1.328647263653567,0.0014294613383568455
100.73989630509999,0.09857959500097598,1,1.6945002765480583,1.4607869610013349,0.0014294613383568455
109.85261415101817,0.09857959500097598,1,1.6259308894462918,1.5929266583491029,0.0014294613383568455
118.96533199693636,0.09857959500097598,1,1.571471712462102,1.725066355696871,0.0014294613383568455
128.07804984285454,0.09857959500097598,1,1.5276495501325233,1.857206053044639,0.0014294613383568455
137.19076768877272,0.09857959500097598,1,1.4919611354639382,1.9893457503924072,0.0014294613383568455
146.3034855346909,0.09857959500097598,1,1.462573787965924,2.1214854477401754,0.0014294613383568455
155.4162033806091,0.09857959500097598,1,1.4381270924581433,2.2536251450879434,0.0014294613383568455
164.52892122652727,0.09857959500097598,1,1.4175983488957038,2.3857648424357114,0.0014294613383568455
