design,n,d,s,lambda,exact_hoffman,lower_bound,upper_bound,weyl_bound,lambda_min_AA,condition_number_AA,true_interaction_norm,interaction_norm_bound,max_leverage,inactive_leverage_sum,active_amplification,lower_gap,upper_gap,weyl_gap,lower_ratio,upper_ratio,weyl_ratio
Spiked ρ=0.7,200,400,20,0.1,48.045483424078824,10.0,3656.6376313256565,inf,0.16346248284612025,85.81513089774978,59.60884412565866,61.0850911513316,0.7737726011763373,266.0041989209411,14.027554362311001,38.045483424078824,3608.592147901578,inf,4.804548342407882,76.107833051651,inf
Spiked ρ=0.7,200,400,30,0.1,39.655556948821,10.0,6209.11241467778,inf,0.12206497858373308,178.16423842418592,75.66945241357972,77.89953190466424,0.8171645643606101,279.0346143525142,21.747613947635394,29.655556948821,6169.456857728959,inf,3.9655556948821,156.57609909983583,inf
Spiked ρ=0.7,200,400,40,0.1,36.381127582232246,10.0,6977.118592930594,inf,0.11876186229182643,234.51597474819417,82.74279789044468,86.36864711059705,0.8132928987092068,267.8322089661184,27.851553898278528,26.381127582232246,6940.737465348361,inf,3.6381127582232247,191.7785142079562,inf
Spiked ρ=0.7,200,400,50,0.1,34.665617028546215,11.97791943834583,11296.257668488095,inf,0.08348695323485174,430.20560748002146,94.22552661655523,98.98790733073189,0.8464393702488625,272.81585551769024,35.916555433055436,22.687697590200386,11261.59205145955,inf,2.894126747719518,325.8634530920343,inf
Spiked ρ=0.7,200,400,100,0.1,57.44238762652202,38.60089645865943,47259.85497171354,inf,0.025906134099009187,2743.034840685416,122.40610790559468,134.6587713344078,0.9034899827019512,255.17337745945537,71.06142842104869,18.841491167862593,47202.41258408702,inf,1.4881101968199455,822.7348639995067,inf
Spiked ρ=0.7,200,400,200,0.1,446410.60598692036,446392.7327904903,616902429.7238538,inf,2.2401798383876007e-06,61662183.593823254,138.19723629179026,166.2133451469302,1.0000000000000018,200.00000000000003,138.13438052466276,17.87319643003866,616456019.1178669,inf,1.00004003917429,1381.9170545019012,inf
Spiked ρ=0.9,200,400,5,0.1,89.79660890020334,11.319479801823116,4565.93424874585,inf,0.08834328233342843,52.154668409341014,40.248618562949076,40.30742913743337,0.9281489386690472,352.6171886631554,4.607514596292776,78.47712909838022,4476.137639845647,inf,7.932927172655115,50.847513115113976,inf
Spiked ρ=0.9,200,400,10,0.1,66.19134684230774,13.391768396058264,7496.331081197406,inf,0.07467273704452208,121.25781104498547,55.90248322544866,56.08671716916273,0.9218582769112166,347.4147455805266,9.05465263875656,52.79957844624947,7430.139734355098,inf,4.942689037378402,113.25243311722359,inf
Spiked ρ=0.9,200,400,20,0.1,46.74520791261043,16.60953148087532,13027.45212006426,inf,0.06020639421114485,300.1426879400319,78.3733853965292,78.8197754174707,0.9288022717350398,343.7953518851146,18.070508989710124,30.135676431735114,12980.706912151649,inf,2.8143604150685513,278.69064449170736,inf
Spiked ρ=0.9,200,400,30,0.1,42.49388619354435,23.00104940897326,21760.084377477375,inf,0.043476277200199226,621.7252129348731,94.56126975229289,95.41642622292149,0.9350691882988588,336.8181325352102,27.030297699909237,19.49283678457109,21717.59049128383,inf,1.847475975464253,512.0756496209367,inf
Spiked ρ=0.9,200,400,40,0.1,37.56352565299646,28.840221304346155,31033.918200571527,inf,0.03467379773016174,1037.4252992278416,107.57170644837005,108.81391891590812,0.938529849624706,329.1627311525287,35.97147498557832,8.723304348650306,30996.35467491853,inf,1.302470090523741,826.1716029335478,inf
Spiked ρ=0.9,200,400,50,0.1,42.47598487136529,34.45690944502988,40784.93366991205,inf,0.02902175546519427,1543.1971098179893,118.33601540777038,120.06401233579668,0.9460136970615622,321.8700930555989,44.78628915573176,8.019075426335412,40742.45768504068,inf,1.232727646080055,960.1880637594528,inf
Spiked ρ=0.9,200,400,100,0.1,117.77517753568067,112.16443744055671,176406.64392671117,inf,0.008915481794574734,10194.996576906218,157.26610675526754,161.25053071505576,0.969506613530935,286.0687402875961,90.8933063771546,5.610740095123958,176288.86874917548,inf,1.050022451172168,1497.8253280345748,inf
Spiked ρ=0.9,200,400,200,0.1,40029000.35673495,40028996.74635095,73164959943.76369,inf,2.4981890161690354e-08,7316538407.946458,182.779899274976,191.1967355252447,1.0000000000000022,200.00000000000006,182.7809583775518,3.6103839948773384,73124930943.40695,inf,1.0000000901942163,1827.7988281426958,inf
