design,rho,n,d,s,lambda,exact_hoffman,exact_hoffman_std,exact_hoffman_ci_lower,exact_hoffman_ci_upper,lower_bound,lower_bound_std,lower_bound_ci_lower,lower_bound_ci_upper,upper_bound,upper_bound_std,upper_bound_ci_lower,upper_bound_ci_upper,weyl_bound,weyl_bound_std,weyl_bound_ci_lower,weyl_bound_ci_upper,lambda_min_AA,lambda_min_AA_std,lambda_min_AA_ci_lower,lambda_min_AA_ci_upper,condition_number_AA,condition_number_AA_std,condition_number_AA_ci_lower,condition_number_AA_ci_upper,true_interaction_norm,true_interaction_norm_std,true_interaction_norm_ci_lower,true_interaction_norm_ci_upper,interaction_norm_bound,interaction_norm_bound_std,interaction_norm_bound_ci_lower,interaction_norm_bound_ci_upper,max_leverage,max_leverage_std,max_leverage_ci_lower,max_leverage_ci_upper,lower_ratio,lower_ratio_std,lower_ratio_ci_lower,lower_ratio_ci_upper,upper_ratio,upper_ratio_std,upper_ratio_ci_lower,upper_ratio_ci_upper,weyl_ratio,weyl_ratio_std,weyl_ratio_ci_lower,weyl_ratio_ci_upper,lower_gap,lower_gap_std,lower_gap_ci_lower,lower_gap_ci_upper,upper_gap,upper_gap_std,upper_gap_ci_lower,upper_gap_ci_upper,weyl_gap,weyl_gap_std,weyl_gap_ci_lower,weyl_gap_ci_upper
Spiked_rho=0.500,0.49999999999999994,200,400,10,0.01,590.2656844571354,9.297756361878978,573.2649649608009,604.9492651290225,100.0,0.0,100.0,100.0,9013.346159422306,1277.587107615819,7589.621380563218,11928.190921252284,,,,,0.34784323330746925,0.03365004034413358,0.28403790550787045,0.3950845069763517,15.748444927305414,2.270323092112825,13.20935637739407,20.96800019144712,30.593302338067154,1.353695010423704,28.99549095089692,33.47820588091342,31.436357582658196,1.3137856729934108,29.845796374169478,34.24220610832355,0.5935689025413717,0.022308505115985488,0.5605149638310867,0.6406485672357921,5.902656844571353,0.09297756361878974,5.732649649608009,6.049492651290224,15.287320104548675,2.2820505261360524,12.557305252061537,20.523103513640503,,,,,490.26568445713536,9.297756361878978,473.2649649608008,504.9492651290225,8423.080474965169,1281.3342133974857,6985.136103443496,11347.121310152228,,,,
Spiked_rho=0.550,0.5499999999999999,200,400,10,0.01,604.4938390515948,7.88108942945909,593.7641663117525,618.7676260672067,100.0,0.0,100.0,100.0,11643.604396507872,1614.954648181558,8999.258637573565,14465.72653580224,,,,,0.30533223285513705,0.0295709285731289,0.2605803736215167,0.3649066884347804,19.894682345301767,2.78183675984144,15.201119110964664,24.833718110690413,34.78386846609489,1.7211211721606603,31.86831439959407,37.79030972374447,35.49936908624622,1.6842308280683438,32.645669685134,38.40601901325522,0.6527043802204423,0.023917098728690495,0.6048384109171127,0.6945662345804526,6.044938390515947,0.07881089429459101,5.9376416631175255,6.187676260672068,19.257493835597767,2.633905306634227,14.860807739533364,24.170407921336746,,,,,504.4938390515948,7.88108942945909,493.7641663117526,518.7676260672067,11039.110557456275,1613.2703571682505,8393.116354075186,13864.690609219017,,,,
Spiked_rho=0.600,0.6,200,400,10,0.01,611.7744010621639,7.800291858199909,600.439683482839,626.4821234574702,100.0,0.0,100.0,100.0,14533.289372773064,1775.5697667305799,11924.831383122684,17483.216990950314,,,,,0.26544437772377094,0.024831867539313768,0.22327971038341587,0.3037948646602402,24.55944815859157,3.064461555214298,20.180939411427662,29.62919902400206,37.8811854913187,1.4462035236008888,35.33058561186614,40.234093748339355,38.5165617263615,1.4195997761131123,36.02120620178792,40.83082101477097,0.6911206426106542,0.013633848231099407,0.6718309765471672,0.7184763675604414,6.1177440106216405,0.07800291858199908,6.004396834828389,6.264821234574701,23.76351730461934,2.942933387697549,19.36638155635271,28.473693353833454,,,,,511.7744010621639,7.800291858199909,500.4396834828389,526.4821234574702,13921.514971710896,1776.4168198335788,11309.697697150012,16869.176492398405,,,,
Spiked_rho=0.650,0.6499999999999999,200,400,10,0.01,618.9927778211974,7.847944113933622,606.1045120959969,633.2612542479087,100.0,0.0,100.0,100.0,17414.675782321803,2093.887139448735,14357.556334524335,21029.400269949405,,,,,0.23671491434736985,0.023786390558624138,0.20143334954414843,0.27470592988372194,29.194395002460375,3.4654733779833133,24.07501520775629,35.116754791557966,40.498097788447595,1.101740028335948,38.684305841065004,42.68192672715989,41.06195311910808,1.063387711615327,39.31978598558474,43.18438433380095,0.7272863667260177,0.016942135084968855,0.702530768331238,0.7560489296507303,6.189927778211972,0.07847944113933626,6.061045120959969,6.332612542479088,28.138890132480867,3.396763220535247,22.735410412459093,33.775622335479596,,,,,518.9927778211974,7.847944113933622,506.10451209599694,533.2612542479087,16795.683004500606,2094.0341078486144,13726.411341761997,20406.630582759793,,,,
Spiked_rho=0.700,0.7,200,400,10,0.01,622.9523454434053,7.298599439003477,608.7134986910229,636.5521737001452,100.0,0.0,100.0,100.0,21648.342335431673,2250.4305581074996,18214.45615916827,25759.486496918034,,,,,0.20369028128824937,0.015566894436453697,0.17728994529591427,0.22947933482885113,35.97261142973362,3.7087163457449672,30.302486172378575,42.79638394937548,43.54908916454474,1.366685343885758,40.70310645677689,45.7481691048951,44.0312243437883,1.3364371476586834,41.24941335549755,46.18227873855765,0.7633670704907654,0.017847196521689517,0.7286297921969198,0.792635533326965,6.229523454434053,0.07298599439003475,6.087134986910229,6.365521737001452,34.74435517463336,3.5220205005147682,29.539934452453743,41.4778419189011,,,,,522.9523454434053,7.298599439003477,508.71349869102283,536.5521737001452,21025.38998998827,2248.429240403745,17597.852753118288,25131.932393740055,,,,
Spiked_rho=0.750,0.7499999999999999,200,400,10,0.01,627.341615293659,9.345371368214998,612.6998162327866,645.8383000558658,100.0,0.0,100.0,100.0,28119.43677744614,3921.733385426501,21873.66134661449,35589.14887650818,,,,,0.17040484893025498,0.01990253836164689,0.13620902478706348,0.20594643234125037,46.36841301062204,6.408025061032935,36.35808852384998,58.418656056157424,46.97561166225968,1.0761969143299202,44.67233265703746,48.43600353450453,47.37144089129076,1.0436409665802926,45.1699871322473,48.803269248909544,0.8076239424292547,0.017016830543683886,0.7680263299941525,0.8314844386890341,6.27341615293659,0.09345371368214993,6.126998162327866,6.458383000558658,44.819713552071285,6.149839957138892,34.21090420400148,56.333737634462885,,,,,527.341615293659,9.345371368214998,512.6998162327866,545.8383000558658,27492.09516215248,3920.493170136508,21234.843937806927,34957.28827310992,,,,
Spiked_rho=0.800,0.7999999999999999,200,400,10,0.01,631.3224570107025,6.875732397333183,624.0615922019995,646.0326224875712,100.0,0.0,100.0,100.0,38120.29511218857,4812.178181883124,30782.20938446351,46615.012287435486,,,,,0.13336093257667764,0.014001337456645191,0.10967683764557903,0.1580421136282186,62.38964592429066,7.755050160589312,50.593040957983376,76.28677096046388,50.03728514277728,1.1219782591122929,48.220021303990016,51.93208816802662,50.34649673707355,1.0934198022888142,48.57272328914255,52.193574755226216,0.8484714721392084,0.014742008841794095,0.8240836160413767,0.8782794797074311,6.313224570107025,0.06875732397333183,6.2406159220199955,6.460326224875712,60.36957395383263,7.486526943308443,48.65668395666832,73.62482218344161,,,,,531.3224570107025,6.875732397333183,524.0615922019995,546.0326224875712,37488.97265517787,4810.557094331358,30155.792173964684,45977.72555756427,,,,
Spiked_rho=0.850,0.85,200,400,10,0.01,634.8749658594281,7.642137624942915,621.9559160882472,648.3538851526315,100.0,0.0,100.0,100.0,51875.338233690636,5498.811781745471,43897.64759872006,63058.9982535976,,,,,0.10331618729331819,0.009417357489321007,0.08634343477661784,0.11849771101215521,84.49283491195641,8.918504278486713,71.6832189130751,102.45423824207188,52.97873439924889,0.6731947958484018,51.897319201742675,54.32026840478782,53.2154241182721,0.6585256525446764,52.154549552996436,54.52567213188938,0.8837767923147177,0.01094022869972927,0.8631967941157015,0.9009972856701589,6.348749658594282,0.07642137624942917,6.219559160882472,6.483538851526315,81.70815714820026,8.59463401124454,69.54878326280786,98.85827067931933,,,,,534.8749658594281,7.642137624942915,521.9559160882472,548.3538851526315,51240.463267831205,5497.8569210266605,43266.859935513625,62421.129702015045,,,,
Spiked_rho=0.900,0.8999999999999999,200,400,10,0.01,640.2948304599624,4.860466853133304,631.2771662783626,650.4744660028857,100.0,0.0,100.0,100.0,84019.02576488019,8767.97967581895,69806.27419182239,102945.71795051733,,,,,0.06760894557985422,0.006306726563804718,0.05548773802636971,0.07956001968744437,135.77565397727975,14.104325530061036,112.76914779904851,166.03599209337798,56.18999746569674,0.460846330269651,55.26830915019458,56.83644649291445,56.345202102355735,0.45047468439780863,55.4421717192379,56.98072956081202,0.9253395901536006,0.006878507772264438,0.9143385383658595,0.9376869668871776,6.402948304599626,0.04860466853133295,6.312771662783627,6.504744660028857,131.2062253254927,13.56009338706501,109.76513425764195,160.91205455128042,,,,,540.2948304599624,4.860466853133304,531.2771662783626,550.4744660028857,83378.73093442025,8767.033700818614,69170.48316393833,102305.94411286128,,,,
Spiked_rho=0.950,0.95,200,400,10,0.01,643.842424864162,7.913736215473955,632.5582893814612,660.4696656386997,100.0,0.0,100.0,100.0,172597.05512757567,23236.956127904003,139195.18276477867,219201.56665291268,,,,,0.03495795685828495,0.004310638236962421,0.027419915377177733,0.04236153856896014,277.6936451661501,37.341013787164115,223.85022168960856,352.48366327036643,59.3123216204999,0.2930490016512158,58.793548476333,59.899418608112505,59.38984263320452,0.28630276587067477,58.880396034270326,59.96021256135646,0.9612477442144414,0.003916741667793127,0.9564477757171133,0.9702309847430557,6.43842424864162,0.07913736215473952,6.325582893814613,6.604696656386997,268.0506623251356,35.98840086720674,218.8538675252289,343.7370832441487,,,,,543.842424864162,7.913736215473955,532.5582893814612,560.4696656386997,171953.21270271152,23235.8208444207,138559.02763207772,218563.81778860476,,,,
