design,n,d,s,lambda,exact_hoffman,lower_bound,upper_bound,weyl_bound,lambda_min_AA,condition_number_AA,true_interaction_norm,interaction_norm_bound,max_leverage,inactive_leverage_sum,active_amplification,lower_gap,upper_gap,weyl_gap,lower_ratio,upper_ratio,weyl_ratio
Spiked ρ=0.7,200,200,10,0.1,43.849969234503874,10.0,1300.5004954043627,inf,0.22723568398213817,30.775703500808138,29.324776275249853,29.686779425553897,0.7324551088817559,126.02063109862945,6.993338035037619,33.849969234503874,1256.650526169859,inf,4.384996923450387,29.65795684939839,inf
Spiked ρ=0.7,200,400,10,0.1,62.35610497510314,10.0,2230.8808403913936,inf,0.201492028088037,37.15198184823544,44.7489784672326,45.201674517186824,0.7771837655423743,272.9412608375284,7.485828170090896,52.35610497510314,2168.5247354162902,inf,6.235610497510314,35.77646232525452,inf
Spiked ρ=0.7,200,800,10,0.1,89.63314424162881,10.0,3326.7643884252675,inf,0.1884122130435426,38.38876014059148,62.49189185672168,63.171208727297156,0.7806653380130106,551.7282698322973,7.232911254086585,79.63314424162881,3237.1312441836385,inf,8.963314424162881,37.11533737405365,inf
Spiked ρ=0.7,200,1600,10,0.1,124.24115036695221,10.0,4467.696284760621,inf,0.19537948675590588,37.24269150686292,87.09424122302386,88.12594433957007,0.7652067991514635,1067.3025415594786,7.276457952019415,114.24115036695221,4343.455134393669,inf,12.424115036695222,35.95987538400172,inf
Spiked ρ=0.7,200,3200,10,0.1,173.32364042746596,10.0,5282.917173800981,inf,0.23206614692415078,30.72474153866936,122.36655715741765,123.7045079053794,0.7707443001496977,2146.2041100429933,7.130172384119387,163.32364042746596,5109.593533373515,inf,17.332364042746597,30.48007277467625,inf
Spiked ρ=0.9,200,200,10,0.1,46.85542478289141,14.549915211032626,5687.324667360907,inf,0.06872892284909946,131.7042362368611,39.0196409052337,39.147293667413294,0.919647452499585,169.30282539644793,9.051890291222806,32.305509571858785,5640.469242578016,inf,3.2203228749651265,121.3802818715999,inf
Spiked ρ=0.9,200,400,10,0.1,63.31431364410772,13.817505364573641,7750.454044959905,inf,0.07237196394103636,125.50375544687034,56.019186102908726,56.17056770749107,0.9250862336614254,347.3685909189103,9.082953263665603,49.49680827953408,7687.139731315798,inf,4.58218122400283,122.41235194502015,inf
Spiked ρ=0.9,200,800,10,0.1,89.64686354810009,16.48821108780385,13452.665822509509,inf,0.06064939335594079,152.66785773910038,81.52895272218406,81.70717579957072,0.9395307491139064,721.0183639009177,9.25921295682752,73.15865246029624,13363.01895896141,inf,5.437027890455071,150.06287214154986,inf
Spiked ρ=0.9,200,1600,10,0.1,128.21886630818258,14.48853494715722,16511.838261361536,inf,0.06902009096483623,131.86639405302523,113.89583778861882,114.19267225268851,0.9290254406993909,1432.7381149534758,9.101430512744734,113.73033136102536,16383.619395053352,inf,8.849677815998938,128.77853889047992,inf
Spiked ρ=0.9,200,3200,10,0.1,181.43378287848472,14.07873418202416,22470.351741160845,inf,0.07102911292101871,127.62335519090648,159.53388600687128,160.028347870515,0.9211417766212284,2825.057518014206,9.064973707214191,167.35504869646056,22288.91795828236,inf,12.887080651763481,123.84877493410565,inf
