Design,n,d,s,MC_Successes,H2_Upper/Exact_Median,H2_Upper/Exact_Min,H2_Upper/Exact_Max,H2_Upper/Lower_Median,H2_Upper/Lower_Min,H2_Upper/Lower_Max,H1_Upper/Exact_Median,H1_Upper/Exact_Min,H1_Upper/Exact_Max,Hinf_Upper/Exact_Median,Hinf_Upper/Exact_Min,Hinf_Upper/Exact_Max
Spiked_rho0.5,200,1000,10,30,1.000452516970081,1.0003174587040158,1.0007841842342529,1.0061705590419363,1.0057827599616582,1.0068302944721916,1.0003397909509992,0.999999999999999,1.00098183141021,1.0,0.9999999999999996,1.0000000000000002
Spiked_rho0.8,200,1000,10,30,1.0026069629908738,1.001181346273091,1.0043750755485819,1.0077478287580246,1.0062852880243676,1.0095371224275835,1.0010878804972458,0.9999999999999979,1.0031407202115326,1.0000000000000002,0.9999999999999982,1.000000000000001
Gaussian,200,1000,20,30,1.000240843886878,1.0001935005441793,1.0004445231202759,1.051729166044792,1.0456463692997962,1.059272335286873,1.0003080620842937,0.9999999999999994,1.0013057604954532,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,200,1000,20,30,1.0013686613159059,1.000969848332946,1.0018899215492219,1.0114501662656123,1.0103286216550889,1.012367708487727,1.0009992480282084,1.0000000000000002,1.0021942421151868,1.0,0.9999999999999996,1.0000000000000007
Spiked_rho0.8,200,1000,20,30,1.0084389205844637,1.0057122019621918,1.0159024659499734,1.0185688734319154,1.0150545570569893,1.0257274938575904,1.001946514611255,0.9999999999999962,1.0077365618430867,1.0,0.9999999999999973,1.0000000000000018
Gaussian,200,1000,40,30,1.0003360177133136,1.0002299196910267,1.00056600541033,1.036033599909298,1.0308974132099142,1.0396811664166907,1.0003379183999135,0.9999999999999998,1.0026667652632293,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.5,200,1000,40,30,1.0048177021755325,1.003792866600848,1.0074790863226752,1.0220472309428428,1.0192902200930638,1.0257668788681935,1.0018665614240598,1.0001059474990304,1.005852001521576,1.0,0.9999999999999994,1.0000000000000007
Spiked_rho0.8,200,1000,40,30,1.0313040821802033,1.0215438696764665,1.0486236249584648,1.0525696118822219,1.0405056883527728,1.0713938681535218,1.003349015920603,0.9999999999999968,1.0161943807656408,1.0000000000000002,0.9999999999999976,1.0000000000000053
Gaussian,200,2000,5,30,1.0000482221873903,1.0000408546516917,1.0000754639063418,1.0400333458943116,1.0365470870831146,1.0464755942760324,1.0000166861411177,0.9999999999999996,1.0001525358201035,1.0,0.9999999999999998,1.0
Spiked_rho0.5,200,2000,5,30,1.0001052218168587,1.000065818924124,1.000146412387313,1.0018601669392355,1.0016270756487369,1.002105636097211,1.0000768465330563,0.9999999999999994,1.0002364222544038,1.0,0.9999999999999997,1.0000000000000004
Spiked_rho0.8,200,2000,5,30,1.0004960842745396,1.0003491609404305,1.000695379603499,1.0018583373968784,1.0017364409154574,1.0020068744793662,1.000173483508683,0.999999999999997,1.000853671877727,1.0,0.9999999999999994,1.000000000000001
Gaussian,200,2000,10,30,1.0000570348439566,1.000045140174892,1.0001089460359651,1.0341857757900872,1.0296676796692723,1.0383553380655546,1.0000869313081027,0.9999999999999997,1.0003982371936657,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,200,2000,10,30,1.0002312873713786,1.0001818000501537,1.0004141581645336,1.003055212885303,1.0028814260979368,1.0033675293439077,1.0001329151190328,1.0,1.0004671028747476,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,200,2000,10,30,1.0012277209920573,1.0008316527123071,1.001980081865606,1.0037617905734284,1.0033531518093755,1.0045812278059978,1.0005159190366633,1.000000000000003,1.0015654502044715,0.9999999999999999,0.9999999999999986,1.0000000000000018
Gaussian,200,2000,20,30,1.0000653417014305,1.0000534541958714,1.000113103147528,1.0258784386137538,1.0219381933350469,1.0292666355097777,1.0000726843563816,0.9999999999999994,1.0005198690831736,1.0,0.9999999999999998,1.0000000000000002
Spiked_rho0.5,200,2000,20,30,1.0006507613138687,1.000511528397608,1.000865794939104,1.005674165525627,1.0051399377511443,1.0060749493142485,1.000502997151115,0.9999999999999988,1.0013344724035138,1.0,0.9999999999999994,1.0000000000000004
Spiked_rho0.8,200,2000,20,30,1.0037733437982843,1.002318730482077,1.005156037280949,1.0086522154429791,1.0069344558838025,1.0099604166723555,1.0011025574369095,0.9999999999999953,1.0030997661626375,1.0000000000000002,0.9999999999999977,1.0000000000000024
Gaussian,200,2000,40,30,1.0000908743409354,1.0000651802596987,1.0002067442697964,1.018267691794211,1.0168226543893624,1.0205757954531078,1.0000000000000004,0.9999999999999994,1.0006160402785065,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.5,200,2000,40,30,1.0024089571221837,1.001561776201302,1.0034377657900808,1.0106321927877728,1.0092861655851595,1.0129385998999538,1.0008403192728772,0.9999999999999994,1.0033481241469238,1.0,0.9999999999999988,1.0000000000000009
Spiked_rho0.8,200,2000,40,30,1.01470369512965,1.00916445025395,1.0225982048906195,1.024395849124079,1.0175526002052468,1.0324783612536872,1.0015934937951863,0.9999999999999988,1.0075442761456386,0.9999999999999996,0.9999999999999953,1.000000000000002
Gaussian,400,500,5,30,1.0011641995744534,1.0009788171776695,1.0015309515513116,1.2949312541163702,1.263641835941194,1.3301741344694067,1.0003282610536908,0.9999999999999997,1.001011066731229,1.0,0.9999999999999999,1.0000000000000002
Spiked_rho0.5,400,500,5,30,1.000364941707697,1.0002702309967666,1.0004679817912348,1.0076233149426213,1.0070796382137321,1.0080513721518731,1.0002893466071927,0.9999999999999994,1.0006476509537034,1.0,0.9999999999999997,1.0000000000000002
Spiked_rho0.8,400,500,5,30,1.001805265114117,1.0011615055511252,1.0026743775690063,1.007368758706745,1.006697787952999,1.0082123741601776,1.0006922033375432,0.9999999999999998,1.0019923204257628,1.0,0.9999999999999991,1.0000000000000004
