lambda1,lambda2,exact_recovery,TP,FP,FN,conditional_bias,iterations,lambda1_ratio,lambda2_ratio
1.564115873191567,0.001,0,9,0,1,0.811256631590658,5000,37.461003750642355,0.023950274012758052
1.6212728837589363,0.001,0,8,0,2,0.817537919025527,5000,38.82992981548096,0.023950274012758052
1.6784298943263056,0.001,0,7,0,3,0.823337898408654,5000,40.19885588031956,0.023950274012758052
1.7355869048936752,0.001,0,6,0,4,0.8255695420153143,5000,41.56778194515817,0.023950274012758052
1.7927439154610447,0.001,0,6,0,4,0.8539432643233634,5000,42.93670800999678,0.023950274012758052
1.849900926028414,0.001,0,6,0,4,0.8823169866314124,5000,44.30563407483538,0.023950274012758052
1.9070579365957834,0.001,0,5,0,5,0.886288995670584,5000,45.67456013967398,0.023950274012758052
1.964214947163153,0.001,0,4,0,6,0.888925174298133,5000,47.04348620451259,0.023950274012758052
2.0213719577305223,0.001,0,3,0,7,0.8841156476622919,5000,48.412412269351194,0.023950274012758052
2.0785289682978916,0.001,0,2,0,8,0.8702412853337074,5000,49.7813383341898,0.023950274012758052
2.135685978865261,0.001,0,1,0,9,0.7874134408037633,5000,51.1502643990284,0.023950274012758052
2.1928429894326307,0.001,0,1,0,9,0.817183820504823,5000,52.51919046386701,0.023950274012758052
2.25,0.001,0,1,0,9,0.8469542002058825,5000,53.888116528705616,0.023950274012758052
0.020876587872591997,0.0013738237958832624,0,10,13,0,0.01259494365651824,5000,0.5,0.03290345635665152
0.07803359843996144,0.0013738237958832624,1,10,0,0,0.040185010311301686,5000,1.8689260648386057,0.03290345635665152
0.13519060900733088,0.0013738237958832624,1,10,0,0,0.0705943814136953,5000,3.2378521296772114,0.03290345635665152
0.1923476195747003,0.0013738237958832624,1,10,0,0,0.10100375251608887,5000,4.606778194515817,0.03290345635665152
0.24950463014206975,0.0013738237958832624,1,10,0,0,0.13141312361848242,5000,5.975704259354422,0.03290345635665152
0.3066616407094392,0.0013738237958832624,1,10,0,0,0.161822494720876,5000,7.3446303241930275,0.03290345635665152
0.3638186512768086,0.0013738237958832624,1,10,0,0,0.19223186582326973,5000,8.713556389031634,0.03290345635665152
